
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 29 November 2019]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2010-Dec 2010"

"row","Numerator","Denominator","Unemployment rate males - aged 16-19","Conf","Numerator","Denominator","Unemployment rate males - aged 20-24","Conf","Numerator","Denominator","Unemployment rate males - aged 25-34","Conf","Numerator","Denominator","Unemployment rate males - aged 35-49","Conf","Numerator","Denominator","Unemployment rate males - aged 50+","Conf","Numerator","Denominator","Unemployment rate females - aged 16-19","Conf","Numerator","Denominator","Unemployment rate females - aged 20-24","Conf","Numerator","Denominator","Unemployment rate females - aged 25-34","Conf","Numerator","Denominator","Unemployment rate females - aged 35-49","Conf","Numerator","Denominator","Unemployment rate females - aged 50+","Conf","Numerator","Denominator","Percentage of population who are white UK national","Conf","Numerator","Denominator","Percentage of population who are white not UK national","Conf","Numerator","Denominator","Percentage of population who are ethnic minority UK national","Conf","Numerator","Denominator","Percentage of population who are ethnic minority not UK national","Conf","Numerator","Denominator","% with degree or equivalent and above - aged 16-64","Conf","Numerator","Denominator","% with degree or equivalent and above - males aged 16-64","Conf","Numerator","Denominator","% with degree or equivalent and above - females aged 16-64","Conf","Numerator","Denominator","% with higher education below degree level - aged 16-64","Conf","Numerator","Denominator","% with higher education below degree level - males aged 16-64","Conf","Numerator","Denominator","% with higher education below degree level - females aged 16-64","Conf","Numerator","Denominator","% with GCE A level or equivalent - aged 16-64","Conf","Numerator","Denominator","% with GCE A level or equivalent - males aged 16-64","Conf","Numerator","Denominator","% with GCE A level or equivalent - females aged 16-64","Conf","Numerator","Denominator","% with GCSE grades A-C or equivalent - aged 16-64","Conf","Numerator","Denominator","% with GCSE grades A-C or equivalent - males aged 16-64","Conf","Numerator","Denominator","% with GCSE grades A-C or equivalent - females aged 16-64","Conf","Numerator","Denominator","% with other qualifications (GCSE) - aged 16-64","Conf","Numerator","Denominator","% with other qualifications (GCSE) - males aged 16-64","Conf","Numerator","Denominator","% with other qualifications (GCSE) - females aged 16-64","Conf","Numerator","Denominator","% with no qualifications (GCSE) - aged 16-64","Conf","Numerator","Denominator","% with no qualifications (GCSE) - males aged 16-64","Conf","Numerator","Denominator","% with no qualifications (GCSE) - females aged 16-64","Conf","Area","mnemonic"

1,27900,64600,43.1,6.4,38200,206500,18.5,3.2,51200,725900,7.1,1.2,55100,829500,6.6,1.0,35700,475400,7.5,1.2,19300,60700,31.8,6.4,30900,185200,16.7,3.3,48300,579800,8.3,1.3,47500,654900,7.3,1.0,17700,392000,4.5,1.0,4138600,7971100,51.9,0.9,803900,7971100,10.1,0.6,2132400,7971100,26.8,0.8,896200,7971100,11.2,0.6,1927800,5464600,35.3,0.7,1003200,2710000,37.0,1.0,924600,2754600,33.6,1.0,345300,5464600,6.3,0.4,142300,2710000,5.3,0.5,203000,2754600,7.4,0.5,881400,5464600,16.1,0.5,461300,2710000,17.0,0.8,420100,2754600,15.3,0.7,847300,5464600,15.5,0.5,386900,2710000,14.3,0.8,460400,2754600,16.7,0.8,910200,5464600,16.7,0.5,456100,2710000,16.8,0.8,454100,2754600,16.5,0.8,552600,5464600,10.1,0.4,260200,2710000,9.6,0.6,292400,2754600,10.6,0.6,"gor:London","E12000007"
2,"!","!","!","!",1500,8700,17.3,"*",2300,22700,10.2,"*",1100,20200,5.3,"*",900,12700,7.3,"*","!",800,"!","!",2000,4400,45.4,"*",1600,20800,7.7,"*",1800,15800,11.3,"*","!",11600,"!","!",123600,212000,58.3,5.4,36900,212000,17.4,4.2,34500,212000,16.3,4.0,17000,212000,8.0,3.0,79500,152700,52.1,4.3,40500,75100,53.9,6.1,39000,77600,50.3,6.1,5600,152700,3.6,1.6,2900,75100,3.8,2.4,2700,77600,3.5,2.2,21100,152700,13.8,3.0,10500,75100,14.0,4.3,10500,77600,13.6,4.2,15400,152700,10.1,2.6,6900,75100,9.2,3.6,8400,77600,10.9,3.8,18800,152700,12.3,2.8,10000,75100,13.3,4.2,8800,77600,11.3,3.9,12400,152700,8.1,2.4,4200,75100,5.6,2.8,8100,77600,10.5,3.7,"ualad19:Camden","E09000007"
3,"!","!","!",-,"!","!","!",-,"!","!","!","!","!","!","!","!","!","!","!","!","!","!","!",-,"!","!","!",-,"!","!","!",-,"!","!","!","!","!","!","!","!","#",6200,29.5,"*","#",6200,38.4,"*","!",6200,"!","!","!",6200,"!","!","!",5000,"!","!","!",2300,"!","!","!",2700,"!","!","!",5000,"!","!","!",2300,"!","!","!",2700,"!","!","!",5000,"!","!","!",2300,"!","!","!",2700,"!","!","!",5000,"!","!","!",2300,"!","!","!",2700,"!","!","!",5000,"!","!","!",2300,"!","!","!",2700,"!","!","!",5000,"!","!","!",2300,"!","!","!",2700,"!","!","ualad19:City of London","E09000001"
4,1000,1800,54.2,"*",1000,3700,26.4,"*",2000,26900,7.4,"*",1900,27000,7.2,"*",1200,10800,11.1,"*","!",2000,"!","!",1800,5800,31.7,"*",1800,20400,8.7,"*",1900,24000,8.0,"*","!",10900,"!","!",114400,239700,47.7,5.1,21600,239700,9.0,2.9,80100,239700,33.4,4.8,23600,239700,9.8,3.0,64700,171400,37.7,3.9,30300,83900,36.2,5.6,34300,87500,39.2,5.4,9100,171400,5.3,1.8,3100,83900,3.6,2.2,6100,87500,7.0,2.8,24400,171400,14.2,2.8,13900,83900,16.5,4.3,10600,87500,12.1,3.6,23800,171400,13.9,2.7,11200,83900,13.4,3.9,12600,87500,14.3,3.8,23400,171400,13.7,2.7,12700,83900,15.2,4.1,10700,87500,12.2,3.6,26000,171400,15.2,2.9,12700,83900,15.1,4.1,13300,87500,15.2,3.9,"ualad19:Hackney","E09000012"
5,"!",600,"!","!",1200,5000,24.0,"*","!",21000,"!","!",1800,17800,10.1,"*",800,9800,8.4,"*","!",700,"!","!","!",4600,"!","!",2100,17400,12.1,"*",1600,13400,12.0,"*","!",7700,"!","!",98600,177700,55.5,5.3,25900,177700,14.6,3.8,41000,177700,23.0,4.5,12200,177700,6.9,2.7,59100,133100,44.4,4.1,33100,64700,51.1,6.1,26100,68400,38.1,5.5,7000,133100,5.3,1.9,2800,64700,4.3,2.5,4300,68400,6.3,2.8,21600,133100,16.2,3.1,12200,64700,18.9,4.8,9300,68400,13.6,3.9,15400,133100,11.6,2.7,6700,64700,10.3,3.7,8700,68400,12.8,3.8,17700,133100,13.3,2.8,5700,64700,8.8,3.5,12000,68400,17.6,4.3,12300,133100,9.2,2.4,4300,64700,6.7,3.0,7900,68400,11.6,3.7,"ualad19:Hammersmith and Fulham","E09000013"
6,"!",2200,"!","!","#",5900,19.2,"*",1300,20000,6.4,"*",1600,27400,5.8,"*","!",11600,"!","!","!",2000,"!","!","!",5100,"!","!",2200,17700,12.6,"*",1200,21800,5.7,"*","!",8700,"!","!",106000,248700,42.6,5.0,34100,248700,13.7,3.5,76700,248700,30.8,4.7,31900,248700,12.8,3.4,65900,173700,37.9,4.0,35000,86100,40.6,6.0,30900,87500,35.3,5.4,9200,173700,5.3,1.9,3500,86100,4.1,2.4,5700,87500,6.5,2.8,24700,173700,14.2,2.9,14200,86100,16.5,4.5,10500,87500,12.0,3.7,21500,173700,12.4,2.7,8700,86100,10.1,3.7,12800,87500,14.6,4.0,29800,173700,17.2,3.1,12400,86100,14.3,4.3,17400,87500,19.9,4.5,22600,173700,13.0,2.8,12400,86100,14.4,4.3,10200,87500,11.7,3.6,"ualad19:Haringey","E09000014"
7,"!",900,"!","!",900,4200,21.5,"*",900,24000,3.7,"*","!",17200,"!","!",500,10900,4.9,"*","!",1300,"!","!",800,6500,12.5,"*",900,19300,4.7,"*",1900,15100,12.9,"*",600,7500,7.6,"*",110200,198300,55.6,5.1,23900,198300,12.1,3.3,49600,198300,25.0,4.4,14500,198300,7.3,2.7,76100,146200,52.1,3.9,39800,72600,54.7,5.6,36300,73500,49.4,5.5,6200,146200,4.3,1.6,2200,72600,3.1,1.9,4000,73500,5.4,2.5,16500,146200,11.3,2.5,10000,72600,13.8,3.9,6500,73500,8.8,3.1,15000,146200,10.2,2.4,6100,72600,8.4,3.1,8900,73500,12.1,3.6,19100,146200,13.1,2.6,9400,72600,12.9,3.8,9700,73500,13.3,3.7,13200,146200,9.1,2.3,5100,72600,7.1,2.9,8100,73500,11.0,3.5,"ualad19:Islington","E09000019"
8,"!","~","!","!","!",1900,"!","!","!",14400,"!","!",2100,18100,11.4,"*","!",10100,"!","!","!","!","!",-,"!",2500,"!","!","!",11400,"!","!","!",10900,"!","!","!",9400,"!","!",78900,157100,50.2,5.2,32700,157100,20.8,4.2,31000,157100,19.7,4.1,14500,157100,9.2,3.0,57700,114800,50.2,4.2,30300,56600,53.6,6.2,27400,58200,47.0,5.7,6500,114800,5.7,1.9,2000,56600,3.6,"*",4500,58200,7.7,3.0,14700,114800,12.8,2.8,8700,56600,15.3,4.5,6000,58200,10.4,3.5,11200,114800,9.7,2.5,5400,56600,9.5,3.6,5800,58200,9.9,3.4,18500,114800,16.1,3.1,7400,56600,13.1,4.2,11100,58200,19.1,4.5,6200,114800,5.4,1.9,2800,56600,4.9,2.7,3400,58200,5.8,2.7,"ualad19:Kensington and Chelsea","E09000020"
9,"!","!","!","!",1900,10800,17.6,"*",3000,38700,7.8,"*",2400,32700,7.4,"*",1700,14300,11.6,"*","!",1700,"!","!",2100,7200,29.6,"*","!",31300,"!","!",2700,27600,9.9,"*","!",13200,"!","!",149800,294000,50.9,5.7,38500,294000,13.1,3.8,76400,294000,26.0,5.0,29300,294000,10.0,3.4,109600,217400,50.4,4.4,59300,109500,54.2,6.2,50300,107900,46.6,6.1,8700,217400,4.0,1.7,3500,109500,3.2,"*",5200,107900,4.8,2.6,27500,217400,12.7,2.9,10800,109500,9.9,3.7,16700,107900,15.5,4.4,20800,217400,9.6,2.6,10300,109500,9.4,3.6,10500,107900,9.7,3.6,29900,217400,13.7,3.0,16200,109500,14.8,4.4,13700,107900,12.7,4.1,20900,217400,9.6,2.6,9300,109500,8.5,3.5,11600,107900,10.7,3.8,"ualad19:Lambeth","E09000022"
