area_ident,Name,EU,NATO,Schengen,Religin,Area,arable lands,permanent crops,meadows,forests,other land use,Population,Population density,% <14,% 15-64,% >65,Female,Male,F <14,M <14,F 15-64,M 15-64,F >65,M >65,Population growth rate,Birth rate,Death rate,Migration,Infant mortality,Life expectancy,Life expectancy - Male,Life expectancy - Female,Fertility,Labor force,NDP growth,NDP per person,Inflation,Unemployment,Industrial production growth
AL,Albania,FALSE,FALSE,FALSE,Muslim,28750,21,4,15,38,22,3413904,118.7440,32,62,6,1658759,1755145,520186,563953,1026321,1104371,112252,86821,1.160,21.700,5.220,-4.880,28.100,73.810,70.830,77.020,2.710,1500000,11.00,1110,16.00,18.00,10.00
AU,Austria,TRUE,FALSE,TRUE,Catholic,83850,17,1,24,39,19,7986664,95.2490,17,67,16,4145403,3841261,681087,711127,2672554,2677100,791762,453034,0.350,11.210,10.270,2.500,6.900,76.900,73.700,80.270,1.480,3470000,2.50,17500,3.00,4.30,2.50
BO,Belarus,FALSE,FALSE,FALSE,Orthodox,207600,29,1,15,0,55,10437418,50.2770,22,65,13,5534461,4902957,1126062,1166439,3494891,3293196,913508,443322,0.300,12.980,11.230,1.270,18.600,71.030,66.360,75.930,1.870,4887000,-20.00,5130,29.00,1.40,-19.00
BE,Belgium,TRUE,TRUE,TRUE,Catholic,30510,24,1,20,21,34,10081880,330.4450,18,66,16,5148264,4933616,875079,919939,3303219,3363250,969966,650427,0.170,11.460,10.220,0.500,7.000,77.210,73.940,80.670,1.620,4126000,2.30,18040,2.50,14.10,-0.10
BK,Bosnia and Herzegovin,FALSE,FALSE,FALSE,Muslim,51233,20,2,25,36,17,3201823,62.4950,22,68,10,1611136,1590687,337787,370966,1082357,1085610,190992,134111,0.650,11.290,7.510,2.720,11.600,75.470,72.750,78.370,1.650,1026254,,,,,
BU,Bulgaria,FALSE,FALSE,FALSE,Orthodox,110910,0,3,18,35,10,8775198,79.1200,19,66,15,4463999,4311199,800413,841697,2927880,2910133,735706,559369,-0.250,11.750,11.310,-2.910,11.400,73.680,70.430,77.100,1.710,4300000,0.20,3830,122.00,16.00,4.00
HR,Croatia,FALSE,FALSE,FALSE,Catholic,56538,32,20,18,15,15,4665821,82.5250,19,68,13,2405109,2260712,418272,442064,1592187,1588455,394650,230193,0.130,11.020,10.550,0.770,8.400,74.020,70.590,77.650,1.620,1509489,3.40,2640,3.00,17.00,-4.00
EZ,Czech Republik,FALSE,FALSE,FALSE,Catholic,78703,,,,,,10432774,132.5590,19,68,13,5359928,5072846,981918,1030003,3529411,3530112,848599,512731,0.260,13.460,10.850,,8.900,73.540,69.870,77.410,1.840,5389000,2.20,7350,10.20,3.20,4.90
DA,Denmark,TRUE,TRUE,FALSE,Lutheran,43070,61,0,6,12,21,5199437,120.7210,17,68,15,2635666,2563771,430598,451993,1731531,1780083,473537,331695,0.220,12.380,11.140,0.960,6.800,76.110,73.230,79.160,1.690,2553900,4.50,19860,2.00,12.30,-2.50
EN,Estonia,FALSE,FALSE,FALSE,Lutheran,45100,22,0,11,31,36,1625399,36.0400,22,65,13,863499,761900,174304,181101,549473,515426,139722,65373,0.530,13.900,11.930,3.310,18.700,70.170,65.200,75.390,1.980,750000,4.00,6460,3.30,2.00,-27.00
FI,Finland,TRUE,FALSE,FALSE,Lutheran,337030,8,0,0,76,16,5085206,15.0880,19,67,14,2610098,2475108,469666,491484,1683371,1716307,457061,267317,0.300,12.220,9.770,0.590,5.200,76.220,72.510,80.110,1.790,2533000,3.50,16140,2.10,22.00,5.00
FR,France,TRUE,TRUE,TRUE,Catholic,547030,32,2,23,27,16,58109160,106.2270,19,65,16,29761494,28347666,5438447,5700143,18889771,19001536,5433276,3645987,0.460,13.000,9.290,0.860,6.500,78.370,74.500,82.440,1.800,24170000,2.40,18670,1.60,12.60,2.60
GM,Germany,TRUE,TRUE,TRUE,Protestant,356910,34,1,16,30,19,81337541,227.8940,16,68,16,41813870,39523671,6518108,6857577,27167824,28130083,8127938,4536011,0.260,10.980,10.830,2.460,6.300,76.620,73.500,79.920,1.500,36750000,2.90,16580,3.00,8.20,2.80
GR,Greece,TRUE,TRUE,TRUE,Orthodox,131940,23,8,40,20,9,10647511,80.7000,18,67,15,5424447,5223064,904374,947494,3601029,3565931,919044,709639,0.720,10.560,9.310,5.990,8.300,77.920,75.390,80.590,1.460,4077000,0.40,8870,10.90,10.10,3.20
HU,Hungary,FALSE,FALSE,FALSE,Catholic,93030,50,6,12,18,12,10318838,110.9190,18,68,14,5366720,4952118,918281,958027,3534218,3440036,914221,554055,0.020,12.650,12.440,0.000,11.900,71.900,67.940,76.060,1.820,5400000,3.00,5700,21.00,10.40,7.00
IC,Iceland,FALSE,TRUE,FALSE,Lutheran,103000,1,0,20,1,78,265998,2.5830,24,65,11,132595,133403,31482,32912,84559,87089,16554,13402,0.920,15.850,6.700,0.000,4.000,78.980,76.690,81.390,2.060,127900,2.40,17250,1.30,7.00,1.80
