trID,trN,pIdx,X,Y,time
1,1,1,25.847,49.424,20/08/2000
1,1,2,27.237,47.438,21/08/2000
1,1,3,27.637,45.734,22/08/2000
1,1,4,27.248,42.551,23/08/2000
1,1,5,27.832,41.044,24/08/2000
1,1,6,36.834,32.183,29/08/2000
1,1,7,34.694,29.694,30/08/2000
1,1,8,33.903,27.768,31/08/2000
1,1,9,32.095,22.817,03/09/2000
1,1,10,31.691,21.079,04/09/2000
1,1,11,29.686,19.287,05/09/2000
1,1,12,22.665,14.877,06/09/2000
1,1,13,21.121,14.077,07/09/2000
1,1,14,20.71,13.702,15/09/2000
1,1,15,21.01,12.793,26/10/2000
1,1,16,22.967,11.431,30/10/2000
1,1,17,24.673,10.754,03/11/2000
1,1,18,26.673,10.916,27/11/2000
1,1,19,28.032,10.16,29/11/2000
1,1,20,29.539,9.644,30/11/2000
1,1,21,31.592,9.247,02/12/2000
1,1,22,32.346,7.74,03/12/2000
1,1,23,32.17,6.979,05/12/2000
1,1,24,33.525,4.524,07/12/2000
1,1,25,33.982,2.371,08/12/2000
1,1,26,34.17,1.849,09/12/2000
1,1,27,35.265,0.563,10/12/2000
1,1,28,35.202,-1.467,11/12/2000
1,1,29,36.171,-2.33,14/12/2000
1,1,30,36.221,-1.573,22/12/2000
1,1,31,36.828,-4.19,25/12/2000
1,1,32,34.373,-3.851,08/03/2001
1,1,33,35.034,-1.374,09/03/2001
1,1,34,34.208,2.231,10/03/2001
1,1,35,33.416,4.134,11/03/2001
1,1,36,32.999,6.941,12/03/2001
1,1,37,32.665,9.668,13/03/2001
1,1,38,33.585,12.058,14/03/2001
1,1,39,32.922,12.925,15/03/2001
1,1,40,32.613,14.401,17/03/2001
1,1,41,33.184,15.461,18/03/2001
1,1,42,33.211,17.068,19/03/2001
1,1,43,33.4,19.369,20/03/2001
1,1,44,33.284,21.106,21/03/2001
1,1,45,33.153,23.819,23/03/2001
1,1,46,33.153,26.987,25/03/2001
1,1,47,32.744,28.439,26/03/2001
1,1,48,33.005,29.577,27/03/2001
1,1,49,33.151,30.902,28/03/2001
1,1,50,34.381,31.13,29/03/2001
1,1,51,36.173,34.747,01/04/2001
1,1,52,37.101,35.634,02/04/2001
1,1,53,37.085,36.059,06/04/2001
1,1,54,34.258,37.802,11/04/2001
1,1,55,33.151,37.721,13/04/2001
1,1,56,32.802,37.305,18/04/2001
2,2,1,12.236,52.681,17/08/2001
2,2,2,13.219,52.424,19/08/2001
2,2,3,15.683,51.115,20/08/2001
2,2,4,17.549,50.356,21/08/2001
2,2,5,21.883,47.36,25/08/2001
2,2,6,25.711,44.744,26/08/2001
2,2,7,27.34,42.713,27/08/2001
2,2,8,29.293,40.307,28/08/2001
2,2,9,32.63,38.463,29/08/2001
2,2,10,35.852,37.064,30/08/2001
2,2,11,37.01,34.536,31/08/2001
2,2,12,33.532,29.265,01/09/2001
2,2,13,32.895,26.626,03/09/2001
2,2,14,32.779,24.827,04/09/2001
2,2,15,32.853,21.201,05/09/2001
2,2,16,32.141,18.516,06/09/2001
2,2,17,32.728,16.208,07/09/2001
2,2,18,34.047,15.914,09/09/2001
2,2,19,33.891,15.631,11/09/2001
2,2,20,34.254,15.272,28/09/2001
2,2,21,34.551,14.691,29/09/2001
2,2,22,34.056,13.725,20/10/2001
2,2,23,34.256,14.439,23/10/2001
2,2,24,35.062,14.058,12/11/2001
2,2,25,36.126,14.463,18/11/2001
2,2,26,35.661,13.951,19/11/2001
2,2,27,34.96,13.088,22/11/2001
2,2,28,33.907,12.186,06/12/2001
