id,Name,trN,Entity ID,Number of positions,Start date+time,End date+time,Start date,End date,Start time,End time,Duration (second),Duration (minutes),Duration (hours),Duration (days),Year (start),Year (end),Month (start),Month (end),Day of week (start),Day of week (end),Hour (start),Hour (end)
1,1,1,Annelise,56,20/08/2000 00:00:00,18/04/2001 00:00:00,20/08/2000,18/04/2001,00:00:00,00:00:00,20822400,347040.0,5784.0,241.0,2000,2001,8,4,7,3,0,0
2,2,2,Annamarie,60,17/08/2001 00:00:00,03/04/2002 00:00:00,17/08/2001,03/04/2002,00:00:00,00:00:00,19785600,329760.0,5496.0,229.0,2001,2002,8,4,5,3,0,0
3,3,3,Annamarie,59,15/08/2002 00:00:00,14/04/2003 00:00:00,15/08/2002,14/04/2003,00:00:00,00:00:00,20908800,348480.0,5808.0,242.0,2002,2003,8,4,4,1,0,0
4,4,4,Annamarie,62,12/08/2003 00:00:00,06/04/2004 00:00:00,12/08/2003,06/04/2004,00:00:00,00:00:00,20563200,342720.0,5712.0,238.0,2003,2004,8,4,2,2,0,0
5,5,5,Annamarie,87,14/08/2004 00:00:00,25/04/2005 00:00:00,14/08/2004,25/04/2005,00:00:00,00:00:00,21945600,365760.0,6096.0,254.0,2004,2005,8,4,6,1,0,0
6,6,6,Annamarie,105,11/08/2005 00:00:00,25/05/2006 00:00:00,11/08/2005,25/05/2006,00:00:00,00:00:00,24796800,413280.0,6888.0,287.0,2005,2006,8,5,4,4,0,0
7,7,7,Christina,46,22/08/2002 00:00:00,14/04/2003 00:00:00,22/08/2002,14/04/2003,00:00:00,00:00:00,20304000,338400.0,5640.0,235.0,2002,2003,8,4,4,1,0,0
8,8,8,Christina,1,18/07/2003 00:00:00,18/07/2003 00:00:00,18/07/2003,18/07/2003,00:00:00,00:00:00,0,0.0,0.0,0.0,2003,2003,7,7,5,5,0,0
9,9,9,Donna,16,30/07/1999 00:00:00,19/04/2000 00:00:00,30/07/1999,19/04/2000,00:00:00,00:00:00,22809600,380160.0,6336.0,264.0,1999,2000,7,4,5,3,0,0
10,10,10,Felix,69,17/08/2001 00:00:00,18/04/2002 00:00:00,17/08/2001,18/04/2002,00:00:00,00:00:00,21081600,351360.0,5856.0,244.0,2001,2002,8,4,5,4,0,0
