Region_Code,Region,Area_Code,Area,Electorate,Turnout,Valid_Votes,Leave
E12000006,East,E06000031,Peterborough,120892,0.7235,87392,0.6089
E12000006,East,E06000032,Luton,127612,0.6631,84481,0.5655
E12000006,East,E06000033,Southend-on-Sea,128856,0.729,93870,0.5808
E12000006,East,E06000034,Thurrock,109897,0.7275,79916,0.7228
E12000006,East,E06000055,Bedford,119530,0.7206,86066,0.5178
E12000006,East,E06000056,Central Bedfordshire,204004,0.7789,158804,0.5613
E12000006,East,E07000008,Cambridge,80108,0.7222,57799,0.2615
E12000006,East,E07000009,East Cambridgeshire,62435,0.7708,48086,0.5092
E12000006,East,E07000010,Fenland,71447,0.7369,52626,0.7139
E12000006,East,E07000011,Huntingdonshire,128486,0.7782,99927,0.5424
E12000006,East,E07000012,South Cambridgeshire,114830,0.8121,93189,0.3977
E12000006,East,E07000066,Basildon,132771,0.7386,97999,0.6862
E12000006,East,E07000067,Braintree,112562,0.7667,86236,0.6113
E12000006,East,E07000068,Brentwood,58777,0.795,46704,0.5915
E12000006,East,E07000069,Castle Point,68860,0.7538,51845,0.727
E12000006,East,E07000070,Chelmsford,129971,0.776,100794,0.5283
E12000006,East,E07000071,Colchester,127520,0.7511,95719,0.536
E12000006,East,E07000072,Epping Forest,100016,0.7689,76852,0.6269
E12000006,East,E07000073,Harlow,59124,0.7356,43469,0.681
E12000006,East,E07000074,Maldon,49073,0.7917,38831,0.6258
E12000006,East,E07000075,Rochford,66589,0.7881,52447,0.6661
E12000006,East,E07000076,Tendring,111167,0.744,82657,0.695
E12000006,East,E07000077,Uttlesford,64735,0.8028,51943,0.5068
E12000006,East,E07000095,Broxbourne,68997,0.7378,50872,0.6626
E12000006,East,E07000096,Dacorum,108965,0.7921,86244,0.5067
E12000006,East,E07000098,Hertsmere,73295,0.7662,56125,0.5084
E12000006,East,E07000099,North Hertfordshire,99316,0.7827,77672,0.4563
E12000006,East,E07000102,Three Rivers,67380,0.785,52848,0.5127
E12000006,East,E07000103,Watford,65060,0.7168,46586,0.5027
E12000006,East,E07000143,Breckland,98989,0.7434,73548,0.6422
E12000006,East,E07000144,Broadland,99254,0.7837,77737,0.5437
E12000006,East,E07000145,Great Yarmouth,72634,0.6906,50128,0.715
E12000006,East,E07000146,King's Lynn and West Norfolk,113884,0.7475,85080,0.664
E12000006,East,E07000147,North Norfolk,83065,0.7684,63790,0.5891
E12000006,East,E07000148,Norwich,96091,0.6912,66366,0.4376
E12000006,East,E07000149,South Norfolk,102395,0.7854,80358,0.5169
E12000006,East,E07000200,Babergh,70628,0.7826,55242,0.5419
E12000006,East,E07000201,Forest Heath,38527,0.7262,27951,0.6497
E12000006,East,E07000202,Ipswich,91574,0.7251,66353,0.5826
E12000006,East,E07000203,Mid Suffolk,78325,0.7816,61185,0.5523
E12000006,East,E07000204,St Edmundsbury,81148,0.7672,62210,0.5662
E12000006,East,E07000205,Suffolk Coastal,98195,0.8068,79184,0.53
E12000006,East,E07000206,Waveney,90391,0.7267,65646,0.629
E12000006,East,E07000100,St Albans,104859,0.8251,86445,0.3729
E12000006,East,E07000104,Welwyn Hatfield,78146,0.7504,58610,0.5299
E12000006,East,E07000097,East Hertfordshire,106260,0.804,85366,0.5036
E12000006,East,E07000101,Stevenage,62156,0.737,45785,0.5925
E12000004,East Midlands,E06000015,Derby,171246,0.7053,120655,0.5722
E12000004,East Midlands,E06000016,Leicester,213819,0.6515,138972,0.4892
E12000004,East Midlands,E06000017,Rutland,29390,0.782,22966,0.5057
E12000004,East Midlands,E06000018,Nottingham,195394,0.6182,120661,0.5084
E12000004,East Midlands,E07000032,Amber Valley,96760,0.7634,73820,0.6028
E12000004,East Midlands,E07000033,Bolsover,58063,0.7233,41972,0.7083
E12000004,East Midlands,E07000034,Chesterfield,79905,0.7192,57424,0.6004
E12000004,East Midlands,E07000035,Derbyshire Dales,57075,0.8192,46728,0.5156
E12000004,East Midlands,E07000036,Erewash,87596,0.7599,66530,0.6123
E12000004,East Midlands,E07000037,High Peak,72487,0.7569,54833,0.5055
E12000004,East Midlands,E07000038,North East Derbyshire,78855,0.7525,59310,0.6278
E12000004,East Midlands,E07000039,South Derbyshire,73856,0.768,56695,0.6035
E12000004,East Midlands,E07000129,Blaby,73832,0.7654,56471,0.5947
E12000004,East Midlands,E07000130,Charnwood,133780,0.7046,94172,0.5381
E12000004,East Midlands,E07000131,Harborough,67420,0.8144,54878,0.5075
E12000004,East Midlands,E07000132,Hinckley and Bosworth,85305,0.768,65470,0.6033
E12000004,East Midlands,E07000133,Melton,37273,0.8136,30305,0.5811
E12000004,East Midlands,E07000134,North West Leicestershire,73944,0.7795,57611,0.607
E12000004,East Midlands,E07000135,Oadby and Wigston,42684,0.7377,31465,0.5458
E12000004,East Midlands,E07000136,Boston,39363,0.7727,30404,0.7556
E12000004,East Midlands,E07000137,East Lindsey,107009,0.7493,80128,0.7065
E12000004,East Midlands,E07000138,Lincoln,63351,0.6934,43894,0.5694
E12000004,East Midlands,E07000139,North Kesteven,86468,0.784,67753,0.6226
E12000004,East Midlands,E07000140,South Holland,65701,0.7537,49497,0.7359
E12000004,East Midlands,E07000141,South Kesteven,105457,0.7825,82471,0.5993
E12000004,East Midlands,E07000142,West Lindsey,73499,0.7453,54753,0.6182
E12000004,East Midlands,E07000150,Corby,43313,0.741,32081,0.6425
E12000004,East Midlands,E07000151,Daventry,61004,0.8101,49381,0.586
E12000004,East Midlands,E07000152,East Northamptonshire,68334,0.7699,52574,0.5876
E12000004,East Midlands,E07000153,Kettering,70570,0.7643,53907,0.6099
E12000004,East Midlands,E07000154,Northampton,144948,0.7268,105259,0.5838
E12000004,East Midlands,E07000155,South Northamptonshire,71309,0.7946,56624,0.5434
E12000004,East Midlands,E07000156,Wellingborough,54572,0.7546,41141,0.6242
E12000004,East Midlands,E07000170,Ashfield,91916,0.7283,66899,0.6984
E12000004,East Midlands,E07000171,Bassetlaw,85547,0.7482,63967,0.6783
E12000004,East Midlands,E07000172,Broxtowe,83593,0.7832,65426,0.5465
E12000004,East Midlands,E07000173,Gedling,88298,0.766,67577,0.5555
E12000004,East Midlands,E07000174,Mansfield,77624,0.7262,56344,0.7086
E12000004,East Midlands,E07000175,Newark and Sherwood,87338,0.7686,67087,0.6039
E12000004,East Midlands,E07000176,Rushcliffe,86401,0.8156,70410,0.4245
E12000007,London,E09000002,Barking and Dagenham,115812,0.6385,73880,0.6244
E12000007,London,E09000003,Barnet,223467,0.7214,161033,0.3777
E12000007,London,E09000004,Bexley,170779,0.7528,128489,0.6295
E12000007,London,E09000005,Brent,186793,0.6514,121404,0.4026
E12000007,London,E09000006,Bromley,231473,0.7887,182432,0.4935
E12000007,London,E09000007,Camden,145425,0.6552,95133,0.2506
E12000007,London,E09000008,Croydon,245349,0.6981,171134,0.4571
E12000007,London,E09000009,Ealing,212991,0.7008,149041,0.396
E12000007,London,E09000010,Enfield,198387,0.6909,136906,0.4418
E12000007,London,E09000011,Greenwich,168967,0.6952,117365,0.4441
E12000007,London,E09000012,Hackney,163284,0.6518,106266,0.2152
E12000007,London,E09000013,Hammersmith and Fulham,114863,0.6995,80242,0.2998
E12000007,London,E09000014,Haringey,150098,0.7064,105846,0.2443
E12000007,London,E09000015,Harrow,162397,0.7226,117225,0.4537
E12000007,London,E09000016,Havering,183082,0.7602,139086,0.6966
E12000007,London,E09000017,Hillingdon,193033,0.6899,133022,0.5637
E12000007,London,E09000018,Hounslow,165050,0.698,115076,0.4894
E12000007,London,E09000019,Islington,144514,0.7039,101600,0.2478
E12000007,London,E09000020,Kensington and Chelsea,83042,0.6599,54739,0.3131
E12000007,London,E09000021,Kingston upon Thames,108838,0.784,85270,0.3839
E12000007,London,E09000022,Lambeth,210800,0.6744,141924,0.2138
E12000007,London,E09000023,Lewisham,197514,0.631,124473,0.3014
E12000007,London,E09000024,Merton,136352,0.7349,100100,0.3706
E12000007,London,E09000025,Newham,176985,0.5925,104699,0.4716
E12000007,London,E09000026,Redbridge,189843,0.6763,128233,0.4603
E12000007,London,E09000027,Richmond upon Thames,132632,0.8209,108806,0.3071
E12000007,London,E09000028,Southwark,195875,0.662,129502,0.2719
E12000007,London,E09000029,Sutton,140288,0.7601,106560,0.5372
E12000007,London,E09000030,Tower Hamlets,167820,0.646,108235,0.3254
E12000007,London,E09000031,Waltham Forest,162983,0.6669,108551,0.409
E12000007,London,E09000032,Wandsworth,219521,0.7198,157884,0.2497
E12000007,London,E09000033,Westminster,120524,0.6499,78196,0.3103
E12000001,North East,E06000001,Hartlepool,70341,0.6559,46100,0.6957
E12000001,North East,E06000002,Middlesbrough,94612,0.6489,61358,0.6548
E12000001,North East,E06000003,Redcar and Cleveland,103529,0.7026,72714,0.6619
E12000001,North East,E06000004,Stockton-on-Tees,141486,0.71,100415,0.6173
E12000001,North East,E06000005,Darlington,77662,0.7107,55166,0.5618
E12000001,North East,E06000047,County Durham,389507,0.6869,267398,0.5755
E12000001,North East,E06000048,Northumberland,240496,0.7435,178721,0.5411
E12000001,North East,E08000021,Newcastle upon Tyne,190735,0.6767,129003,0.493
E12000001,North East,E08000022,North Tyneside,156993,0.723,113462,0.534
E12000001,North East,E08000023,South Tyneside,115893,0.6827,79079,0.6205
