id,Name,Cluster,N events,X-extent,Y-extent,Diagonal extent,Area; sq.km,Begin time,End time,Duration; seconds,Duration; minutes,Duration; hours,Duration; days,Duration; months,Duration; years
1,Cluster 1,1,49,23043.84,8863.56,22859.88,78.82,03/05/2015 16:08:37,17/05/2015 20:00:24,1223507,20391.78,339.86,14.16,0.47,0.04
2,Cluster 2,2,471,54121.73,38888.36,65917.03,1675.52,12/03/2011 17:58:25,13/04/2011 20:08:15,2772590,46209.83,770.16,32.09,1.07,0.09
3,Cluster 3,3,152,29971.90,23133.66,37468.52,381.67,12/03/2016 17:34:06,02/04/2016 17:01:14,1812428,30207.13,503.45,20.98,0.70,0.06
4,Cluster 4,4,59,39627.00,22437.59,39652.63,593.35,26/03/2014 17:59:35,15/04/2014 13:39:51,1712416,28540.27,475.67,19.82,0.66,0.05
5,Cluster 5,5,38,23513.23,48674.08,52608.55,616.60,12/03/2014 21:20:51,06/04/2014 13:08:33,2130462,35507.70,591.79,24.66,0.82,0.07
6,Cluster 6,6,205,30883.82,32190.64,44233.22,459.22,19/03/2015 10:49:06,22/04/2015 17:17:08,2960882,49348.03,822.47,34.27,1.14,0.09
7,Cluster 7,7,238,46683.99,23228.25,51433.63,757.18,01/04/2014 19:13:22,22/04/2014 19:44:42,1816280,30271.33,504.52,21.02,0.70,0.06
8,Cluster 8,8,393,69788.26,42591.84,80731.07,1567.76,16/03/2010 17:39:49,16/04/2010 08:25:42,2645153,44085.88,734.76,30.62,1.02,0.08
9,Cluster 9,9,397,34685.29,37871.19,50968.68,799.54,19/03/2013 12:06:58,21/04/2013 12:56:34,2854176,47569.60,792.83,33.03,1.10,0.09
10,Cluster 10,10,341,37946.18,50926.03,63156.34,1283.03,14/03/2009 13:26:01,13/04/2009 12:39:32,2589211,43153.52,719.23,29.97,1.00,0.08
11,Cluster 11,11,414,40192.41,47517.36,61792.67,1241.67,09/03/2012 16:39:47,16/04/2012 21:37:05,3301038,55017.30,916.96,38.21,1.27,0.10
12,Cluster 12,12,65,71618.15,30851.52,75126.56,1340.75,31/03/2010 11:54:35,27/04/2010 22:40:07,2371532,39525.53,658.76,27.45,0.91,0.07
13,Cluster 13,13,44,86363.36,32737.83,88858.10,1543.20,28/04/2007 11:16:38,09/05/2007 19:54:31,981473,16357.88,272.63,11.36,0.38,0.03
14,Cluster 14,14,211,57635.79,64840.24,86055.98,1211.81,25/03/2007 15:03:00,17/04/2007 00:21:45,1934325,32238.75,537.31,22.39,0.75,0.06
15,Cluster 15,15,99,43256.55,10013.08,37048.00,272.67,17/02/2015 09:04:58,19/04/2015 11:48:42,5280224,88003.73,1466.73,61.11,2.04,0.17
16,Cluster 16,16,84,65316.62,52808.09,81727.48,2538.40,02/04/2009 16:15:18,09/05/2009 10:52:06,3177408,52956.80,882.61,36.78,1.23,0.10
17,Cluster 17,17,34,7540.48,6523.39,9963.13,23.27,18/04/2013 12:28:10,21/04/2013 16:31:05,273775,4562.92,76.05,3.17,0.11,0.01
