id,Name,Cluster,N events,X-extent,Y-extent,Diagonal extent,Area; sq.km,Begin time,End time,Duration; seconds,Duration; minutes,Duration; hours,Duration; days,Duration; months,Duration; years
1,Cluster 1,1,337,39768.96,39541.59,55372.23,855.73,26/04/2008 12:44:21,17/05/2015 20:00:24,222678963,3711316.05,61855.27,2577.30,85.91,7.06
2,Cluster 2,2,3181,49475.23,65989.75,83922.57,2103.42,25/03/2007 15:03:00,07/04/2016 00:07:27,285152667,4752544.45,79209.07,3300.38,110.01,9.04
3,Cluster 3,3,719,44879.15,38221.98,54988.00,1166.02,14/03/2007 11:39:59,20/04/2016 18:34:36,287304877,4788414.62,79806.91,3325.29,110.84,9.11
4,Cluster 4,4,840,71173.86,50806.83,88641.97,2219.82,21/04/2007 04:17:58,06/05/2016 20:30:25,285437547,4757292.45,79288.21,3303.68,110.12,9.05
5,Cluster 5,5,513,31792.52,30017.17,45235.85,459.72,20/03/2007 14:52:58,17/04/2016 14:11:41,286499923,4774998.72,79583.31,3315.97,110.53,9.08
6,Cluster 6,6,439,30498.14,51465.15,58463.65,845.01,08/03/2007 13:19:16,31/03/2016 18:02:04,286087368,4768122.80,79468.71,3311.20,110.37,9.07
7,Cluster 7,7,281,35359.77,36784.45,49686.68,787.18,07/03/2007 10:19:40,18/03/2016 21:58:06,285075506,4751258.43,79187.64,3299.49,109.98,9.04
8,Cluster 8,8,152,31739.03,26731.93,42306.58,620.15,07/04/2008 04:19:17,19/04/2015 09:13:33,221892856,3698214.27,61636.90,2568.20,85.61,7.04
9,Cluster 9,9,24,31868.03,16988.21,39415.56,286.99,28/03/2009 11:26:16,24/04/2010 13:11:27,33875111,564585.18,9409.75,392.07,13.07,1.07
10,Cluster 10,10,44,6281.23,10146.69,11921.66,33.58,17/04/2011 14:01:33,10/05/2013 13:41:51,65144418,1085740.30,18095.67,753.99,25.13,2.07
11,Cluster 11,11,14,9615.66,7213.94,13061.46,12.11,19/03/2011 00:00:00,27/03/2011 15:51:25,748285,12471.42,207.86,8.66,0.29,0.02
